restaurant_style,name,address,price,rating,tel,lat,log,website,image_url
Vegeterian,Good Love,"56 Acland St, St Kilda VIC 3182, Australia",$$,4.6,61395936539,-37.866041,144.978039,http://www.goodlovevegan.com/,"https://static.wixstatic.com/media/d60094_7f0231e1b71148e19d0c205d29eff15b~mv2.jpg/v1/fill/w_980,h_653,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/WZ1A1004.jpg"
Modern Australia,Supernormal,"180 Flinders Ln, Melbourne VIC 3000",$$$,4.5,61396508688,-37.81557678,144.9681832,http://www.supernormal.net.au/,https://images.squarespace-cdn.com/content/v1/5bf37e5155b02cb97822a273/1551164451386-BNCGVY0MUTGZUR8TGM8C/SN+HOME.jpeg?format=2500w
Modern Australia,"Matteo's Restaurant, Melbourne","533 Brunswick Street Melbourne, Fitzroy North VIC 3068, Australia",$$$,4.6,61394811177,-37.78335843,144.979437,http://www.matteos.com.au/,https://www.matteos.com.au/inc/img/gallery/Matteos39.jpg
Modern Australia,Punch Lane Wine Bar & Restaurant,"43 Little Bourke St, Melbourne VIC 3000",$$$,4.5,61396394944,-37.81071413,144.9713696,http://www.punchlane.com.au/,https://images.squarespace-cdn.com/content/v1/6267372d1924f556e06b2e5f/1650939202179-K11WDBIP2G49531L62S4/DSCF0966.jpg?format=750w
Modern Australia,No35,"25 Collins St, Melbourne VIC 3000",$$$,4.3,61396530000,-37.81307306,144.973628,http://no35.com.au/,https://no35.com.au/wp-content/uploads/2021/06/Sofitel-Melbourne_Autumn-Menu-198055.jpg
Asia,Rice Too Asian Cuisine,"373 King St, West Melbourne VIC 3003",$,4.4,61393489808,-37.81144795,144.9531944,https://ricetooasian.com.au/,"https://just-eat-prod-sg-res.cloudinary.com/image/upload/c_fill,f_auto,q_auto,h_494,w_1150/au/cuisines/asian-1.jpg"
Asia,Asian BBQ House,"1/295 Exhibition St, Melbourne VIC 3000",$,3.4,61476679697,-37.80874439,144.968855,https://www.menulog.com.au/restaurants-asian-bbq-house,"https://just-eat-prod-sg-res.cloudinary.com/image/upload/c_fill,f_auto,q_auto,w_1600,h_500,d_au:cuisines:bbq-0.jpg/v1/au/restaurants/11055840.jpg"
Asia,Tasty Asian,"37 Glen Huntly Rd, Elwood VIC 3184",$,4.5,61395377222,-37.88184119,144.9814982,https://www.tasty-asian.com/,"https://static.wixstatic.com/media/1dbb0b_ecdcd5ce87204eaf95647dde64f1b539~mv2.jpeg/v1/fill/w_1080,h_572,al_c,q_85,enc_auto/1dbb0b_ecdcd5ce87204eaf95647dde64f1b539~mv2.jpeg"
west,Roule Galette,"Shop 1/241 Flinders Ln, Melbourne VIC 3000",$,4.7,61396390307,-37.81661999,144.9662926,https://www.roulegalette.com.au/,https://www.roulegalette.com.au/images/galleries//RG3-outsidenight.jpg
west,Souvlaki GR Thornbury,"665 High St, Thornbury VIC 3071",$,4,61384563522,-37.76058526,144.9998967,https://souvlakigr.com.au/,https://souvlakigr.com.au/wp-content/uploads/2021/05/6I9A8225.jpg
Vegeterian,Om Vegetarian,"Shop 4-5/227 Collins St, Melbourne VIC 3000",$,4,61396399412,-37.8156369,144.9662604,http://www.omvegetarian.com/,https://images.squarespace-cdn.com/content/v1/56779d53a976af9a4e425cef/1450855899355-Q48E0JXYHBX2QH93A8FT/P1050447.JPG?format=1000w
Vegeterian,Crossways Vegetarian and Vegan Restaurant,"147 Swanston St, Melbourne VIC 3000",$,4.7,61396502939,-37.81407073,144.9657485,https://www.crosswaysfoodforlife.com.au/,https://www.crosswaysfoodforlife.com.au/wp-content/uploads/2013/10/crossways-text-low.jpg
Modern Australia,Denmark House,"3/428 Little Bourke St, Melbourne VIC 3000",$,4.6,61396004477,-37.8138026,144.9598721,http://denmarkhouse.com.au/,"https://res.cloudinary.com/tf-lab/image/upload/w_1200,h_674,c_fill,q_auto,f_auto/restaurant/ab6f6846-7338-4552-a0c2-e2faa53bd0c4/b66745d8-865d-43c8-817e-d4cf795fdd72.jpg"
Modern Australia,Encore Restaurant & Bar,"1/222 Russell St, Melbourne VIC 3000",$,4.6,61399152528,-37.81047384,144.9685191,https://www.mantra.com.au/victoria/melbourne-and-surrounds/melbourne/accommodation/hotels/mantra-on-russell/dining/,https://www.mantra.com.au/Portals/0/GalleryImages/System/Mantra/onRussell/Approved/Mantra-on-Russell-Home-Kitchen-Bar-3.t85305.jpg
west,Ombra,"76 Bourke St, Melbourne VIC 3000",$$,4.4,61396391927,-37.81090074,144.9708265,http://www.ombrabar.com.au/,https://images.squarespace-cdn.com/content/v1/5af3a601f2e6b11025509757/1634692510573-P2A3KZPOMRY8WG80S8EL/Day%252B5%252BMontage.jpg?format=2500w
west,Ciao Cielo,"115 Bay St, Port Melbourne VIC 3207",$$,4.3,61396467697,-37.84015068,144.9403848,http://www.ciaocielo.com.au/,https://ciaocielo.com.au/wp-content/uploads/2018/06/firetable.jpg
west,Topolino's,"87 Fitzroy St, St Kilda VIC 3182",$$,4.4,61395341925,-37.86026969,144.9767012,http://www.topolinos.com.au,http://www.topolinos.com.au/uploads/1/1/9/2/11922992/background-images/1351446823.jpg
Asia,YOI Indonesian Fusion,"1/155 Franklin St, Melbourne VIC 3000",$$,4.2,61390431530,-37.80850533,144.9594508,http://yoirestaurant.com.au/,https://resizer.otstatic.com/v2/photos/xlarge/2/47137225.jpg
Asia,Crystal Jade Restaurant,"154 Little Bourke St, Melbourne VIC 3000",$$,4.1,61396392633,-37.81136928,144.9679623,http://www.crystaljademelbourne.com.au/,http://www.crystaljademelbourne.com.au/resources/174350097_2842865622637899_5458244894077696932_n.jpg.opt723x406o0%2C0s723x406.jpg
Asia,Oriental Flavour Asian Cuisine,"125 Puckle St, Moonee Ponds VIC 3039",$$,4.5,61393754717,-37.76290488,144.9198765,https://www.orientalflavour.com.au/,https://www.orientalflavour.com.au/thumbnails/food-image/square/1024/pad/pad-thai-3.jpg?v=1612288338
Vegeterian,Madame K's Vegetarian,"367 Brunswick St, Fitzroy VIC 3065",$$,4.5,61394156099,-37.79569943,144.9785347,http://www.madamek.com.au/,https://www.madamek.com.au/wp-content/uploads/2017/07/Madame-K-logo.png
Vegeterian,Shakahari Too,"225 Clarendon St, South Melbourne VIC 3205",$$,4.6,61396822207,-37.83052263,144.9600985,http://www.shakaharitoo.com.au/,https://images.squarespace-cdn.com/content/v1/5ffedb73e49f6c22128df264/1610540615103-JN9M5UWZD0Q52YSIWJ1Z/Screen%2BShot%2B2021-01-13%2Bat%2B11.21.35%2Bpm.jpg?format=750w
cafe/brunch,Kodama Coffee,"69-71 Stevedore St, Williamstown VIC 3016",$$,4.7,61393977890,-37.85690553,144.8973783,https://www.kodamacoffee.com/,https://media-cdn.tripadvisor.com/media/photo-m/1280/17/25/68/50/photo0jpg.jpg
cafe/brunch,Half Acre,"112 Munro St, South Melbourne VIC 3205",$$,4.5,399991191,-37.82915722,144.9454479,https://www.halfacre.com.au,https://images.squarespace-cdn.com/content/v1/6052b6695c81145af84cb2aa/1658112061317-HUEE7WAT5BDGFC3NZWA6/Half+Acre+Restaurant+and+Bar+at+South+Melbourne.png?format=original
Modern Australia,The Mill Restaurant - Melbourne CBD Restaurant & Bar,"71 Hardware Ln, Melbourne VIC 3000",$$,3,61396001454,-37.81324,144.96091,https://themillrestaurant.com.au,https://themillrestaurant.com.au/wp-content/uploads/2021/02/Dave-redone-e1613004677848.jpeg
Modern Australia,Sea Salt Kitchen - Best Fish and Chips Melbourne,"362/364 Lygon St, Carlton VIC 3053",$$,4.1,61393474777,-37.79818353,144.9674835,http://www.sea-salt.com.au/,https://www.sea-salt.com.au/wp-content/uploads/2020/07/a3-scaled.jpeg
west,Bon Ap' Petit Bistro,"193 Brunswick St, Fitzroy VIC 3065",$$,4.6,61394159450,-37.80155843,144.9780273,http://www.bonap.com.au/,"https://static.wixstatic.com/media/907f1a_c9911e07465b47468580b4c430c897dc~mv2_d_2736_1824_s_2.jpg/v1/fill/w_2719,h_1824,al_c,q_90,enc_auto/907f1a_c9911e07465b47468580b4c430c897dc~mv2_d_2736_1824_s_2.jpg"
west,Zeus Street Greek Collingwood,"81-85 Cambridge St, Collingwood VIC 3066",$$,4.1,61458301979,-37.80544354,144.9853796,https://zeusstreetgreek.com.au/store-location/collingwood/?utm_source=google&utm_medium=organic&utm_campaign=Google%20My%20Business%20Page&utm_term=plcid_7115390004936896901,https://zeusstreetgreek.com.au/wp-content/uploads/2022/06/3.1.jpg
west,Il Solito Posto,"Basement/113 Collins St, Melbourne VIC 3000",$$,4.6,61396544466,-37.81437889,144.9708528,http://www.ilsolitoposto.com.au/,https://s3-ap-southeast-2.amazonaws.com/vectron-join-app/voucher/699/image_banner.png?1632886623
Asia,Chin Chin,"125 Flinders Ln, Melbourne VIC 3000",$$,4.3,61386632000,-37.81549644,144.9707636,http://www.chinchinrestaurant.com.au/,https://www.chinchinrestaurant.com.au/wp-content/uploads/2019/07/CHIN-CHIN-0270.jpg
Asia,Rice Paper Scissors,"307 Brunswick St, Fitzroy VIC 3065",$$,4.4,61394860066,-37.79767287,144.9787145,http://www.ricepaperscissors.com.au/,https://www.sevenrooms.com/.h/download/AMIfv94lDhmr3VlZGHGGbYrTxQxoVQgxTe3VFYL0ls6C5hHOKlHMN7r6XNY13TlqKYkhPRflrcQ2Q8x1b9o8Io_A8iKALypIOXTVkGuMfn9YQrrKqkRzYCZwzC1NEpRi_5dYigaVMLUGUurccBfMo51f8UaAlbPdwUE4U4LuYZgRMviVv3yveIzcHCBuB7HV90esztnEK-owLi2Q6lNTe_rr_Wj4Fxh3syfYoLVV4VS5M7kBSEbhDvY5TnLj6qYyf76d84bgYdCH1xSQXPfxLFdfcJfkCAF943NGRlBB9FPACtAxZDSjCkpzb45EEpRaUcHLcuUvxWPqYPbv1cQjCc8uDzQUKvCKpVPNzFqPl4MponkbSYWeOBSfz7SMeUEXujGc0LJ2-4O6_iIS5DKgBD938sebBdGg1tV2Vprpmtd9JXFl3LIfBiByBZ5nzhp1r-UlxbN_AzeHmEcTxJHaX2RKAo7w4jjnLcyVkD7t3M9aQPAkXsFONHAcE_GW-5zejMgFHwH1linyF319W-Xr76B-2vk5n-ZGi03aTDT5EJiBGxDbqygXSrz4bkHuofUscbRJJKr-lm-n
Asia,TuanTuan Chinese Brasserie Melbourne,"Shop 1/139 - 151 Queensberry St, Carlton VIC 3053",$$,3.8,61399955407,-37.80461953,144.9638558,https://www.tuantuanmel.com.au/,"https://static.wixstatic.com/media/90ada8_64bf0b23f5e14318beca1cb1e35b6fd1~mv2.jpeg/v1/fill/w_1425,h_660,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/90ada8_64bf0b23f5e14318beca1cb1e35b6fd1~mv2.jpeg"
Vegeterian,Saravanaa Bhavan,"131 King St, Melbourne VIC 3000",$$,4,61385978678,-37.81684852,144.9558942,https://www.saravanaabhavan.com.au/?utm_medium=gmb&utm_source=google,https://scp2.elfsightcdn.com/?url=https%3A%2F%2Finstagram.fkut1-1.fna.fbcdn.net%2Fv%2Ft51.2885-15%2F309912711_633962398302701_6436824450252675371_n.jpg%3Fstp%3Ddst-jpg_e15_fr_s1080x1080%26_nc_ht%3Dinstagram.fkut1-1.fna.fbcdn.net%26_nc_cat%3D105%26_nc_ohc%3D39b17Y4Q1s0AX-9Jt-I%26edm%3DAPU89FABAAAA%26ccb%3D7-5%26oh%3D00_AT_e83wvyYyEmP-lcpNJDBfsX4KtL8c-wlJ8pShY5jQ3iQ%26oe%3D6344C8C3%26_nc_sid%3D86f79a
Vegeterian,Vegie Bar,"380 Brunswick St, Fitzroy VIC 3065",$$,4.5,61394176935,-37.7956077,144.9796403,https://www.vegiebar.com.au/,https://www.goodfood.com.au/content/dam/images/h/1/9/6/w/t/image.related.wideLandscape.460x259.h198ct.png/1545090534636.jpg
cafe/brunch,Sir Charles,"121 Johnston St, Fitzroy VIC 3065",$$,4.4,61434910121,-37.79784073,144.9794682,https://sircharlesfitzroy.com/,https://images.squarespace-cdn.com/content/v1/5a14ad342278e73e3d52ce79/1527655110994-K2MV5WF2Z4NOWGGTHUNZ/Sir-Charles-63.jpg?format=1500w
cafe/brunch,Auction Rooms,"103-107 Errol St, North Melbourne VIC 3051",$$,4.4,61393267749,-37.80232871,144.949912,https://www.auctionroomscafe.com.au/,https://scontent.fsyd3-1.fna.fbcdn.net/v/t1.6435-9/30264920_1785250464847635_716101804227559424_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=9267fe&_nc_ohc=3dawZbWByhMAX8vheQa&_nc_ht=scontent.fsyd3-1.fna&oh=00_AT_t9YQ1Xc0QeHfBbmtAfDO8b8gZ7YjRLCUaYKa8vN4R6g&oe=6367083D
Modern Australia,Taxi Kitchen,"Flinders Street &, Swanston St, Melbourne VIC 3000",$$,4.4,61396548808,-37.81740497,144.968012,http://www.taxikitchen.com.au/,https://transporthotel.com.au/wp-content/uploads/2020/08/TK-Main-Dining-Room-2.jpg
Modern Australia,The George on Collins,"162-168 Collins St, Melbourne VIC 3000",$$,4.2,61396637226,-37.81466619,144.9687608,https://www.thegeorgeoncollins.com.au/,https://www.thegeorgeoncollins.com.au/wp-content/uploads/2021/03/den.jpg
cafe/brunch,Gesha cafe,"496 Whitehorse Rd, Surrey Hills VIC 3127",$$$,4.6,61438 799 999,-37.8147613,145.0976172,http://geshacafe.com/,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEABQODxIPDRQSEBIXFRQYHjIhHhwcHj0sLiQySUBMS0dARkVQWnNiUFVtVkVGZIhlbXd7gYKBTmCNl4x9lnN+gXwBFRcXHhoeOyEhO3xTRlN8fHx8fHx8fHx8fHx8fHx8fHx8fHx8fHx8fHx8fHx8fHx8fHx8fHx8fHx8fHx8fHx8fP/AABEIAIIArgMBIgACEQEDEQH/xAAbAAACAwEBAQAAAAAAAAAAAAADBAACBQYBB//EADwQAAIBAwIEAwUECQQDAQAAAAECAwAEERIhBRMxQVFhcSIygZGhFHKxwRUjM0JDUmLR4QZzgvAkNKI1/8QAGAEBAQEBAQAAAAAAAAAAAAAAAAECAwT/xAAhEQEAAgEFAAIDAAAAAAAAAAAAARECAxITITFBUQQUMv/aAAwDAQACEQMRAD8AzF/1A/e3X4GiL/qDxtj8DWKop23iilWJCp1ysyhwemMb4+NcZ0sPp05MmiOPqetu3zq44/Gf4LVivC6cvUv7RQyY3yD0qNBIianUqNZQ57GpxYHJk3DxyA4zE1XXj9uBgxuKwJIJIZGjdCGTdvIePpXqwSsyKsbFpN0H83p9acOByZN/9PWndH+Qrw8ZsX95W+Vc70ODkHzoxi0wiR5dOrOhepbH4b1OHFeSW+ONWPTUw+Fenitky/tSB6iua3OTucd6vbxc6eOMnSHYKWx0yacOByS3G4hYORmXOO9FHE7HGOaK5t00OykbqSD8K8pwYryy6X9I2PUSjNepfWQziauZwPCppB8Kn6+K8sulNzZMwbnCgXa2k6HRcBTWAUH8o+VUIX+UfKrGjEfJyy07e0DTqolUjOd62x1CjoK5vhZCXmoAbI34VqWNxI902tW042JrGpjNt4ZXDoLYkxjNNClbX9mKaFdcXCfUqVKlaR85XpTIuWS1WKKTSSW1479MfnQFBGCNsd60LeYubYSOGDFw4IHhtW6tl5c3cUsXKRNPJxyG3zttv4Z6+tFnvoLlnjm3j54dXxvp3yD86AbKPkc1XYggEALqK7A749alsshtyi8yIs2RIEOG8iR0qbYLFXiYYtI6BZNLqunpgjYH4/jVY71f/HMqjVA5I0jA0kDbbzqCwwy81sBiq+wucE5H0waqbMBXBY8wRmQDG2AenrTbBalzKLx+YsWmbBL6TkEDv60za3Ma/Zy1w0WgKjoF2YA9c/HeiQWSRrrGt1KMr4xg5UnY/SlUtUliaWHVgBjg7nIAPbx3+VXaWOt1GkLRpNyipb+EHD7nB8vCqpc2yQRqZHYx6dICldwc+OD8q9l4fGlszpIzOPAbHbI8980tNF9ncFW1KQRq2wfGs7Sx3vYJJGZ4sMJGKMqjZT+JB33oV1JBcKrc1uYihN09/HfrSyouoa86c+1jrjyo9pZ/bLnkQqzMc6QT0HiTV2qANKMHyBg53rTi4VLOzXN/ILWFva1y4UsfIdfpQ5Lu14QTHYhbq7HvXDjKIfBB39azxPNdTmS4leR26sxzVGlyuDwnJmurs+CgRr9d6H9u4WmQnCVYeL3LE/hQngVULZrNIOs46ZqQjbhvuFGQE8M5TdMxzt+Yp2KPh6tzEu5odX7s66l+Y6VzUXvjNacntwALvikxEtRMx46a3V44g5KvGTtJGdSmnFYEbVw1teXNjNrtpGjbuB0PqO9dHwzikXECIyq293/INkk+74Hyqba8LbFShxyZ2OQR1B7USoPng6V6B4b1aBQ8saHfU4XHqa0ktQp0RyHQ9woVh1/eHzrVsswCriaXtJJ0xsx6U4lirsEWQ62XWMjYDOKNb2ixXrxlwAUdfbGCdiP80sJQBFAYXHLx743yd+2OvxqksxknkkVmXWxIGegJ6UwtpG0Mki3CPy01MF33ztjy3pi2ji+zw6zHpbUGBA1Mc4XHerYzoXdHHLkKE7ZBx869Mkyu361gc7lW603JamW9dI9KKXYL4DFCe0lit0mfAR+m/wCNLAtUythncEgHckZHWo5Zt3cn1OaJoHLLEg7eNUdTHL7EiPp3yu4+tBVA8siRRIXkchVA7mnL6YWMDcPs2BY7XUy/vn+Uf0im7ad14dJftFGtzITDA6Lg/wBTfDpWQkLlwoG5ON6ltRBXQfCrorA7V1MPBbaOEcyFpnHVtZA+VeNZRq3sWcHlqJJqLbnJop1gR2VhG/ut2NBCV1pimZFi5NtoHuqVyB/9VPsdwRtBafGP/NUcmIzmug4La28lszTZLg4yScD4U6llODmSCy0/cx+dNRwxqDlYkz/LIQPlRJKPwzhxBOgMx6AOVz86Wk4fbOqG1VY8n3nkOP8AFawtopGCZDL1yOoNJ3Ni6TZC6yTnWfd+I8arJyDmSwgSSI9wg2ZT+0UfmKPG4Zaz0BW4BLEvH7px3pyUhSJV2SQZwOzdxUlYcLE/KlSQAEowYZ8t6bgu3jQAAHEvNGfGlYRzJo0P7zBeniaucam04C5OPSiDG4c593ePl9O1T7bMDnKE9zpGW7bnqaJbLDL+0XBiBdsdHA8fA17LalIiRGWLGMKQNskZNVaAjljitJVBJllwvTZVBz/aot0wNvlR+o6ee+ace2GVje30suWdkQjOATpU9zS00MYERYLbs+dStnCjPXx6UKEivxE5ZYlPtMVJOCobqP8ANUNxEkLJHG4LqAxZ89+23iKPNw7RPFAhG6kvIegIyT08BivYuHO5RnC+1jIIIC5Ukb98AZNQVsIEuF0axkEZQ9x69KpcWbxXUkMSHdiEz3FQyTcPDxII1aQA8wA5K9sZ6fKnOASSXN3FE8jMoOcM2QMEU7teqO3lvyxHaxgaLdAg8z1J+dLwWjc9CRtqFOtJzJHbxYmiowGDWPZaMxH9UfvGhOuTVoGzGw/qNQ7mtsglBjpVcY6UciqEUHgBKk9hXgGaselQdKqDQZVg1EnHMXrjFCiPsZ8GogcnbFAsYhzt2xkU3bQpIrRSH2c6h5UJtroj+mjqmdxsaD5/HFJI+IhqYb4B3r1dhg+hokDwLKWnRm/lx2PiRkZobtqctknJJyRSA4EuntxuvJPi6j86XxKFOkOUU4JXOBV4pUUW6tnCSl227ez/AGpkTpOcoSmiJyUx+8c5P1orPBc7KW+FXilkjmSVcllORnvin14jGVZdkLKvtYOM49rpv170bh01ugu5ZZY9L4UMUw2SN8DftQki19PJzCxy0iFNRO4BOTj1o9pxCSGJF0s4XUBhjqJbwPbwo1nBa64oZXBYDWcjK5O+58gOnjmnZIUQiSKJdRkGo6dI3yTg98bYwO1QiLlnX1ldXEqyNGI1KgEs+dIA6se/rROByKON20Nucxgklz1c6Tv6eArRvLxLWH22DbYCjufKsvgkbi9W9IAAlHfAGT7R+WaRLeWNT0cRjpG9GRjivJoeXcSIezEUWNBjHjXMVR3LMi9ScDzplTyFHNYDyzSE8bSxOIzpkxlfWufe5lB33x49q1BTrW4jaDqx+VU/SVp3l29K5P7aR1i+tT7apGOX9arNOol4jbnAhOsn+oDHzNCa7Yvy9LpnprTTmuaF2V6Lv60w/Eri4jWNiAi7YAoOhe8eJJNDezG3gCK8try4utXLdPZGTlcVz11fTRpGBJ1BJBGc+tCh4rcwMWj5Yz19k7/WrSOjfiEqyl2ZN9twaOnFZVGyQn/liuUbik79RH1zjB/vTNhNeX8xigjg1BS26npkefnSgBEZ42ZVJ07nA6CvANqtaSLDLqc4AB205z5dRUyCDgbeHhVhHoglKc0IdAGc+Ve8xYoDpQ65AVLs2wHcAePSjXCpI/2hXUxnA0BsMoGBpxRprpTy5Ips6JiQunGlSBgY8MZotMw1Owp/7WolnKaVUqViAUezuKIt4s8hSRgsbQnVkAAvp6/OhTOGobDPpVy0hVfbk0r03Ps+nhWpEYXiJLRrAI8aABqJxv55zTEotYbK1EhjXLh2RPbLds5+f4URh68hi7Mzdsn8a1+HSxDhRUvghjkeBP8A0Ud7OLKc0QtJqCsWGA2MliqjGSOlZlnAskvNRiqc4KB3wdRH4VPWoypv3upuVcbnmLhvvDY0KNz4H5U0p/Xvavssu8ZPZ/8APShYKsVYEMDgg9qxMVKxNgv7MmrwOr4d6zuK8NcsZoEyDuwH41sPGXUacah03+lTUkEI1yZOSAo60WJpxrIKGR5V2x4Pa8RiNw8YQnfKkgn5DeljwHhUZOu5yyjJV5CuPkK01OWLk0QselMRxkHpWxxKzgtyBEgUDbKHIO2aRI0ocVJlnqWbdktMfIYoFPtECdwaryF8Ku5dsEsV1n+kk+x2kt86ZMzcuMH+UdT88fKsez4c15cpBEN36nso7k118UaBEjgGIYlCR+g7/GrbGUU5K2t1lt5JZHXUEOhQwB2HXHhS4qisVPstgkYPpVhVZMpbhntQWOJupx7vtYo9lZrK8qsgkaOQLg56ZOehHhSqXLxqg0xsU9wsmSvf8astzlnMkauGbXjJXB3329TRenptNJczkwIraRldRJ67Dv60KWBo5Aow4K6lZejDxo32xjlWjjaPbShGy4GNqG88jS8wkasYG2AB4Y8KHQ7WEsMcZkIEjvpEY3PSjy2c0VxBBq1XHU5GAnfr386vFxOIPbHlnTB3Jy3Tf6nNSO8gWSFEkZ9GplklGMMRttvtneoiSTzDQ55MrAtyplzhSevhk79+lD4fKIonDZIEntYHfbSfmCP+VEuiz28KyvCJVchBEy4IwN9ts5pFblYZpSEWRXyCOxBxt9KDqJ8TRxzR4YY3IPyNWDfal0n/ANpNv90D86w7TjAtn06XeBhjS2Mp8eh+lOvxHh0u4Lxs2+Rnr8Keiz3RDaFGGGx8qBMwce0xz40y15Y3S/rrhVlH8YL1+8PzpG8t7mJOZoEkB6SxHUp+IrExMOkTEh/pG5tsLFOSo2AKg/jUXjF4H1B4wT1IiXNIlwfOq6/KpcrUN6K+a4iKNM3te8CBlqDJY5wyjpWTHKysCOtb1jPzY9yc1pJB/RodAQKoOFM7hEXLHoBW7FDpj1THlr4t+QqFsgpApRT7zH3m/tSmbLWtpHZxmGEhpH/ayDv/AEjyp5ECrgV5HGEXAq9EfOwNxTq2Z9nWcAxh/qAR9aViGHVtJYLgkeWacF6WSQTBnkbOGz0zj6bCtpBeZOXPKg6I7KM+RxUETsjvGpZExk+tWuZBNcSyBSuty2D1GTmrwXhhiMYVWUnL5/eGMY8u9DqwhG3tZUgrsw8K9kikQNrRlIGRlTRlv2GkmPLDOpwcM22AfUDvVpLxJE0LEVBj5fv52yDn12ovQV1aNFdSxxKzqm+cZ286sbb/AMe3mVHYNq5mN8YbHw2xTCcS0XLTcs7srHS2CcDGD5UBbtEVVRHPLYshLY64649KL0pcwGGeZFBKRtjOOg7ZoGKeHE3KurxqQ/vYOCdgOvwpHr0FEPtZIzzRRo2pMKravfY4wPlvSSsNwRmmhehr+KaQuI48YHXB042+NWt57dYl2XmgKAXQ6QRnJyNznNF6JsPZq1tdXFm+q2nkiPcKdj6joavdNEZSYmLKdyTnc9zv50uTRlorxVp9RueG21wQNTMimNseJI/tXn2zhLe9YXSH+icEfWs9HaM5Rip8QcVWpRbYtZ+Fy3McUVhcMzHGZJ8D6VrLJLCMW0ENuOmVXLfM1z/CMfpW3+9+RrpJfeBGetebWznGah308d3q9nEzlmmdpHz7zHJp7SFG1L2X8T71NNXbHxyn1WpUqVUcFB7s/wDtH8RVR7tSpWge/wD/AHH9F/AUuPdP/e9e1KE+mbNFaKcsoJA2yOlKCpUofC/7tUqVKqLDrRO3wqVKAJr1feNSpRXp92qGpUojyvalSgc4R/8Aq2/3vyNdLJ759alSvF+R/UPRo+GLP3n+9TbVKlejHxxn1WpUqVpH/9k="
